"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
73,"Lucía Canillas Arias","Local Guide · 31 reseñas · 63 fotos","Hace 3 años","Comida","30-40 €","Positivo","","Comida muy rica, camarero muy amable, terraza agradable","","No","Todo muy rico. El camarero muy amable. Tiene terraza y es muy agradable"
74,"Veronica Manrique","Local Guide · 85 reseñas · 128 fotos","Hace 3 años","Cena","20-30 €","Positivo","","Atención rápida y muy atenta, variedad de tapas sabrosas","Algunos platos puntuales resultaron algo mejorables","No","Pedimos montón cosas, unas muy buenas otras pelin mejorables. Atención muy atenta y rápida."
75,"Leo M","Local Guide · 20 reseñas · 82 fotos","Hace 2 años","","","Positivo","","Platos elaborados con mimo y buen gusto, ambiente distendido, servicio atento","","No","Agradable lugar con ambiente distendido y servicio atento, donde degustar platos realizados con mimo y buen gusto."
76,"Eduardo Espinosa Martín","9 reseñas","Hace 1 mes","Cena","30-40 €","Positivo","","Comida buenísima, camareros de 10, trato increíble","","No","Increíble el trato, la comida buenísima y los camareros de 10, volveremos seguro"
77,"María animal","Local Guide · 129 reseñas · 62 fotos","Hace 2 años","","","Positivo","","Cena fantástica, servicio agradable y muy atento","","No","Hemos cenado divinamente.El servicio ha sido muy agradable y atento. Volveremos."
78,"Anm anm","12 reseñas · 5 fotos","Hace 1 año","Comida","30-40 €","Positivo","","Comida muy rica, atención genial, excelente relación calidad-precio","","No","Nos gustó mucho, la atención genial y calidad precio muy bien!!☺️ Lo recomiendo"
79,"Toni Vidal","Local Guide · 70 reseñas · 155 fotos","Hace 4 años","Cena","","Positivo","Tapeo variado","Comida exquisita, muy buena atención del personal","","No","Un 'tapeo' impresionante . Muy buena atención por parte del personal. La comida exquisita. Muy recomendable opción si estás por Pozuelo"
80,"gonzalo ruiz","Local Guide · 32 reseñas · 1 foto","Hace 10 meses","Cena","40-50 €","Positivo","","Comida espectacular con gran presentación, ambiente acogedor y divertido para amigos","","Sí","Una experiencia increíble en La Roca!Fuimos a cenar con amigos un sábado y todo fue perfecto de principio a fin. El ambiente es acogedor, con una energía ideal para disfrutar y pasar un buen rato. La comida, simplemente espectacular..."
81,"Sam","Local Guide · 964 reseñas · 6.374 fotos","Hace 3 años","Cena","40-50 €","Positivo","Platos de mercado","Platos muy ricos, formato ideal para grupos y probar muchas cosas","Raciones pequeñas y precios algo altos","No","Restaurante gourmet de mercado, platos pequeños y ricos, aunque caretes. Ideal para ir en grupo y probar muchas cosas"
82,"CARLOS BARRANCO GARCÍA","Local Guide · 94 reseñas · 62 fotos","Hace 3 años","Comida","60-70 €","Positivo","","Gran nivel gastronómico en cocina, estupendo servicio de sala","Decoración y local poco atractivos para el nivel culinario","No","Me gusto mucho almorzar en La Roca, el único pero que encontré es que el local y su decoración no me parecen muy atractivos y desmerecen el gran nivel de la cocina y el estupendo servicio."
83,"María Montserrat","Local Guide · 17 reseñas · 11 fotos","Hace 1 año","Cena","","Positivo","Blinis, Costilla, Tartare, Ravioli rabo de toro, Pan bao, Postres","Equilibrio entre tradición y vanguardia, postres originales, servicio excelente","","No","Blinis, costilla, tartare, ravioli rabo de toro, pan bao . .. postres originales y deliciosos. Servicio excelente. Cocina tradicional con un toque moderno."
84,"Daniel Alfaro","Local Guide · 447 reseñas · 1.737 fotos","Hace 4 años","","","Positivo","Pulpo a la brasa, Tortilla de Betanzos, Postres","Pulpo a la brasa y tortilla de Betanzos espectaculares, trato increíble","Postres por debajo de las expectativas generadas","Sí","Muy buena experiencia, el pulpo a la brasa muy recomendable y la tortilla de Betanzos muy rica y jugosa. Los postres no fueron tan ricos como esperaba pero el trato increíble"
85,"Chema Caballero","Local Guide · 1.041 reseñas · 6.478 fotos","Hace 4 años","","","Positivo","","Carta muy equilibrada, comida exquisita, servicio excelente y buen ambiente","","Sí","Exquisito. Excelente servicio, buen ambiente, carta muy equilibrada. Una delicia"
86,"Natalia Mad","7 reseñas","Hace 4 meses","","","Negativo","","","Deterioro evidente en la calidad de la cocina respecto a años atrás","No","Me encantaba hace años, últimamente, para ser sincera, la comida cada vez nos gusta menos, algo ha cambiado en cocina."
87,"rocio relaño sieira","Local Guide · 26 reseñas · 5 fotos","Hace 2 meses","Cena","30-40 €","Positivo","Postre de chocolate","Comida deliciosa, local agradable, atención maravillosa de Ney, Nilmar y Valentín","","No","Ney y Nilmar y Valentín maravillosos!!! El sitio genial!! Muy rico!! Los postres recomiendo el de chocolate!"
88,"Manuel Rodriguez Martin","Local Guide · 68 reseñas · 4 fotos","Hace 1 año","Comida","20-30 €","Positivo","","Comida muy rica, servicio rápido, local bonito y trato excepcional","","No","Lugar impresionante! Buena atención, sitio bonito, comida muy buena, servicio rápido! El trato ha sido excepcional, hemos quedado encantados!"
89,"Pedro Hidalgo","Local Guide · 24 reseñas · 200 fotos","Hace 3 años","Cena","20-30 €","Positivo","Ravioli de rabo, Solomillo con arroz meloso, Taco de pulpo","Comida variada y muy rica, atención muy buena","","No","Probamos muchas cosas lo que más nos gustó fue: Ravioli de rabo, solomillo con arroz meloso y taco de pulpo. Atención muy buena"
90,"David Andrés","Local Guide · 285 reseñas · 2.905 fotos","Hace 3 años","Comida","30-40 €","Positivo","Carpaccio, Tartar, Baos, Zamburiñas, Bombones de foie","Buen producto, buena elaboración técnica, atención correcta","Cantidades bastante escuetas","No","La atención fue buena. En cuanto a la comida, muy buen producto y bien elaborado. Las cantidades nos parecieron escuetas. Cogimos carpaccio, tartar, baos, zamburiñas, bombones de foie..."
91,"Mariano Jeronimo Sanjuan Perez","4 reseñas","Hace 1 mes","","","Positivo","","Comida y servicio espectaculares, 100% recomendable","","No","Tanto la comida como el servicio fue espectacular. 100% recomendable!!!!"
92,"Juan Gabriel Alonso","Local Guide · 21 reseñas · 10 fotos","Hace 1 año","","","Positivo","","Comida espectacular, trato personal muy cercano, agradable y simpático","","Sí","Fantástica la comida y el servicio. Muy cercanos, agradables y simpáticos. La comida espectacular y estuvieron muy atentos."
93,"Carolina Blanco Gómez","4 reseñas","Hace 3 meses","Comida","","Positivo","","Comida increíble, trato genial de Jessica y Nein (Ney)","","No","La comida está increíble y Jessica y Nein nos han atendido genial. Volvemos seguro!"
94,"Clara Serrada","Local Guide · 202 reseñas · 769 fotos","Hace 4 años","","","Positivo","","Comida espectacular, gran creatividad y ejecución del chef","","No","No entiendo como este sitio no tiene más fama porque la comida es espectacular. Felicidades al chef por lo que consigue crear"
95,"João Saraiva","5 reseñas","Hace 3 meses","","","Positivo","","Comida muy rica, estupenda atención por parte de todo el equipo","","No","Todo estaba muy rico y la atencion de los empleados fue estupenda! Volveremos!"
96,"Borja Gonzalez","Local Guide · 17 reseñas · 1 foto","Hace 4 años","Cena","30-40 €","Positivo","","Sabores espectaculares, labor profesional brillante de Ney","","No","Un lugar magnífico donde aparte de degustar una maravilla de platos con sabores espectaculares para el paladar.... Resaltar sobre todo la profesionalidad del personal y hago un Inciso! NEY ES UN PROFESIONAL COMO UNA CATEDRAL, ATENTO..."
97,"Ivan Calle","Local Guide · 930 reseñas · 37 fotos","Hace 1 mes","Comida","30-40 €","Positivo","Carne","Carne maravillosa, muy buen servicio y comida","","No","La comida y el servicio muy bueno. La carne estaba maravillosa."
98,"rafael cascales sisniega","Local Guide · 149 reseñas · 862 fotos","Hace 2 años","","","Positivo","Torreznos","Torreznos espectaculares, experiencia general muy buena","","No","Buena experiencia. Torreznos espectaculares. El resto muy bien. Recomendable"
99,"JD Vivas","2 reseñas · 1 foto","Hace 1 año","","","Positivo","Encebollado","Plato excelente, trato y atención estupenda de Doris y Valeria","","No","Excelente encebollado y atención!! atendida por Doris y Valeria!"
100,"Patricia Madrazo","Local Guide · 37 reseñas · 1 foto","Hace 10 meses","Cena","40-50 €","Positivo","Ravioli, Pulpo, Platos fuera de carta, Postre","Maravillosa atención del encargado, sugerencias fuera de carta de gran nivel","","No","Fuimos a cenar un día entre semana, maravillosa atención, especialmente por parte del encargado. La comida de carta muy buena (ravioli, pulpo..), pero también recomiendo pedir platos de fuera de carta. ¡Y dejad un hueco para el postre!"
101,"Rocio Frejo","7 reseñas · 1 foto","Hace 11 meses","Cena","40-50 €","Positivo","","Experiencia estupenda recomendada por amigos, acierto seguro","","No","Estupendo, para repetir. Nos lo recomendaron unos amigos y ha sido todo un acierto."
102,"Ignacio SÁEZ","Local Guide · 380 reseñas · 1.606 fotos","Hace 5 años","","","Positivo","Tapas de autor","Tapas de nivel 'Top Chef', perfectas para darse un homenaje","","Sí","Simplemente perfecto merece la pena darse un homenaje dom sus tapas TOP chef"
103,"Concha Jódar","Local Guide · 215 reseñas · 239 fotos","Hace 4 años","","","Positivo","Vino Ribera de la casa","Platos exquisitos, personal muy amable, vino excelente","","Sí","Estuvimos cenando y todos los platos exquisitos, el personal muy amable y el vino Ribera de la casa muy bueno."
104,"MONICA IRACHE ALONSO ALVARADO","13 reseñas","Hace 5 meses","Cena","30-40 €","Positivo","","Buena comida, buena atención y relación calidad-precio razonable","","No","Hemos cenado muy bien, buenas comida, buenas relación calidad precio y la atención muy buena. Recomendable."
105,"Cristina Abel","Local Guide · 16 reseñas · 13 fotos","Hace 1 año","Comida","30-40 €","Positivo","","Comida y servicio estupendos, experiencia magnífica","","No","Magnífico!!! Servicio y comida estupendas, repetiremos"
106,"belen Garcia","Local Guide · 48 reseñas","Hace 7 meses","","","Positivo","Callos","Callos exquisitos, servicio impecable, calidad/precio muy razonable","","No","La verdad que ha sido todo un descubrimiento. Calidad de la comida excelente ( callos exquisitos). Servicio impecable. Volveremos seguro. Calidad / precio muy razonable."
107,"MARGOT ALMAZAN GONZALEZ","3 reseñas · 3 fotos","Hace 6 años","","","Positivo","Vinos seleccionados","Mezcla de texturas y sabores originales, gran carta de vinos, atención inmejorable de Óscar","","No","Uno de los mejores sitios de Pozuelo de Alarcón (Madrid) para degustar buena cocina a buen precio y con una cuidada y especial selección de vinos. La atención en el restaurante es inmejorable, especialmente la de Óscar..."
108,"Iván Hernández","Local Guide · 20 reseñas · 6 fotos","Hace 1 año","Comida","30-40 €","Positivo","","Buen ambiente para disfrutar de la comida con grupos de amigos","","No","La roca, un lugar donde disfrutar de la comida en un buen ambiente. Comí en este restaurante con un grupo de amigos."
109,"iago taibo corsanego Psicología positiva","Local Guide · 73 reseñas · 40 fotos","Hace 5 años","","","Positivo","Arroz con perdiz y carabineros, Vino","Platos muy originales, materia prima de calidad, vino excelente, buena resolución y compensación de errores","","No","Muy interesante. Habian cometido un error pero comoensaron muy bien. Excelente vino, platos muy originales y materia prima de clara calidad. Repetire! Arroz con perdiz y carabineros"
110,"Juan Ramón Esquivias","Local Guide · 28 reseñas · 2 fotos","Hace 7 meses","Comida","30-40 €","Positivo","","Comida estupenda, trato espectacular del equipo (toque rioplatense)","","Sí","Me cuesta dar 5 estrellas pero este restaurante se lo merece. Comida estupenda y trato espectacular. Uruguay y Argentina funcionan, felicidades."
111,"A RC","Local Guide · 24 reseñas · 3 fotos","Hace 3 años","","","Positivo","Platos de carta","Calidad muy buena en platos elaborados, trato de maravilla de Alejandro y Ney","","No","Alejandro y Ney nos trataron de maravilla. El servicio es excelente y la calidad de la comida muy buena. Platos elaborados a buen precio, volveremos sin duda."
112,"Marta Rodriguez","2 reseñas","Hace 1 año","Cena","20-30 €","Negativo","","","Presión del camarero para pedir más platos alegando que era poca comida","No","Fuimos a este restaurante con ganas de probar su comida, pero la experiencia no fue la deseada. Al principio, quisimos pedir una cantidad razonable de platos, pero el camarero nos insistió en que era muy poco para dos personas. Terminamos..."
113,"Santi Mera Benito","10 reseñas","Hace 10 meses","Comida","40-50 €","Positivo","","Camareros muy atentos y simpáticos, detalle de regalar el plato erróneo tras equivocación en comanda","Precio algo elevado respecto al volumen de las raciones","No","El servicio muy bien, muy atentos. Se equivocaron en una comanda y nos dejaron lo que trajeron (gratis) y luego nos trajeron lo correcto. Muy amables y simpáticos. Por otro lado un poco caro para la cantidad de comida. Recomendable"
114,"Laura LC","Local Guide · 58 reseñas · 75 fotos","Hace 3 años","","","Positivo","","Camareros muy atentos, comida muy rica, local con encanto","","No","Los camareros muy atentos, y la comida muy rica. Nos encantó el sitio. Volveremos !!!"
115,"Juan Pablo","Local Guide · 217 reseñas · 17 fotos","Hace 1 año","Comida","30-40 €","Positivo","Tortillitas de camarones, Arroz meloso negro, Platos fuera de carta","Tortillitas de camarones finas y no grasientas (las mejores de Madrid), arroz meloso sabroso, ricas sugerencias fuera de carta","","No","Excelente restaurante con una excepcional cocina. Las tortillitas de camarones, las mejores que he comido en Madrid, finas, de buen tamaño y nada grasienta. El arroz meloso negro riquísimo también. No pidas solo lo que está en la carta..."
116,"88 Canoko 88","4 reseñas","Hace 11 meses","Comida","30-40 €","Positivo","Albóndigas, Platos de picoteo","Formato de picoteo muy acertado y sabroso, albóndiga sobresaliente","","No","Hoy he venido a comer con la familia y nos ha sorprendido gratamente. Hemos probado el formato de picoteo y nos ha encantado. Todos los platos estaban deliciosos, pero personalmente recomiendo la albóndiga. Sin duda, volveremos."
117,"Marcelino Hidalgo","Local Guide · 19 reseñas · 39 fotos","Hace 4 años","","","Positivo","Menú celebración","Comida, atención y ambiente espectaculares para celebración familiar","","No","Comida del día de la madre... Todo espectacular, comida, atención, ambiente... REPETIREMOS"
118,"laura sancho","Local Guide · 76 reseñas · 23 fotos","Hace 1 año","Cena","50-60 €","Positivo","","Sitio acogedor, servicio súper atento y comida espectacular","","No","Sitio acogedor , Servicio super atento y comida espectacular !!"
119,"Paloma Fenoll","Local Guide · 52 reseñas · 15 fotos","Hace 10 meses","Comida","10-20 €","Positivo","Menú de mediodía (19.90€ con bebida y postre/café)","Menú de mediodía muy variado y apetecible, trato muy atento, ambiente agradable","","No","Hemos comido el menú de mediodía. 19.90€ con bebida y postre o café. Muchos platos muy para elegir todos muy apetecibles. Lo que hemos comido todo muy rico. El servicio muy atento y el local muy agradable. Volveremos seguro"
120,"Alejandro Martín","Local Guide · 165 reseñas · 42 fotos","Hace 11 meses","","","Positivo","Platos a la brasa","Comida muy sabrosa, especialmente los productos a la brasa","","No","Teníamos ganas de venir a conocerlo y no nos defraudó. La comida muy rica, destacando todo el producto a la brasa."
121,"Javier Cerezo Solano","2 reseñas","Hace 3 meses","","","Positivo","","Servicio muy bueno por parte de los camareros, atención destacada de Jessica","","No","Muy bien servicio por parte de todos los camareros. Gracias a Jessica por su atención"
122,"Joaquin Rodriguez","Local Guide · 384 reseñas · 698 fotos","Hace 2 meses","Cena","40-50 €","Positivo","","Comida excelente y trato del personal muy agradable","","No","Comida excelente y un trato por parte del personal muy agradable Recomendado 100x100"
123,"javier cerezo","Local Guide · 30 reseñas · 10 fotos","Hace 3 meses","Comida","Más de 100 €","Positivo","","Comida muy buena y gran servicio de Jessica","","No","Muy buena comida y servicio por parte de Jessica. Muchas gracias!"
124,"Óscar Utrilla Santos","Local Guide · 118 reseñas · 33 fotos","Hace 1 año","Cena","30-40 €","Positivo","Ensaladilla con atún, Torreznos","Excelente relación calidad-precio en Pozuelo, ensaladilla y torreznos muy ricos","","No","Muy recomendable, calidad precio lo mejor de la zona. El entrante de ensaladilla con atún nos encantó, los torreznos muy sabrosos..."
125,"Jose Navajas Helguero","6 reseñas","Hace 1 año","Comida","20-30 €","Positivo","Platos pequeños variados","Atención educada y rápida sin reserva, formato de tapas ideal para probar variedad, precio razonable","","No","Fue una experiencia muy agradable; nos sentaron enseguida, sin necesidad de reserva. El personal fue atento y educado, y la comida de excelente calidad a un precio más que razonable. La mayoría de los platos son pequeños..."
126,"María C","9 reseñas · 13 fotos","Hace 1 año","Comida","40-50 €","Positivo","Postres","Comida muy rica, cuidada presentación y postres de calidad","Raciones de ciertos platos escasas para su coste","No","La comida muy rica, elaborada y presentada. Algunos platos son escasos en ración y algo caro. Postre muy rico"
127,"Alberto Jorge","Local Guide · 177 reseñas · 334 fotos","Hace 2 años","Comida","30-40 €","Positivo","Tapas y raciones","Profesionalidad, cercanía y amabilidad de los camareros, gran calidad de las tapas","","No","Justo balance entre amabilidad, cercanía y profesionalidad de los camareros, y estupenda calidad de las tapas y raciones. Para volver varias veces más."
128,"Jorge Pallarés","Local Guide · 56 reseñas","Hace 2 años","Comida","40-50 €","Positivo","","Calidad constante a lo largo de los años en ambos locales, servicio atento y educado","","No","Buena cocina, hemos ido ya más de 7-8 veces a lo largo de los años, incluso al local anterior, y la verdad es que siempre hemos salido satisfechos con la calidad de los platos. El servicio es atento y amable. Es una muy buena opción..."
129,"Cristina Gómez Mirón","Local Guide · 24 reseñas · 17 fotos","Hace 1 año","Comida","","Positivo","Huevo Rossini, Tapas pequeñas","El formato de pequeñas tapas individuales es un acierto rotundo frente a platos mayores","Platos fuera del formato de tapas con calidad algo irregular","No","Hemos estado muchas veces probando cosas distintas y siempre había algo que no estaba a la altura del resto. Hoy hemos comido solo de las pequeñas tapas que es lo mejor del restaurante y todo un acierto! Para dos personas: 1 huevo Rossini..."
130,"Alba Zapata","9 reseñas","Hace 11 meses","Cena","40-50 €","Positivo","","Servicio impecable desde la llegada, atención cercana y comida deliciosa","","No","¡Una experiencia culinaria excepcional en La Roca! Desde el momento en que llegamos, el servicio fue impecable. El personal es amable, atento y realmente se preocupa por ofrecer la mejor atención a sus clientes. La comida es deliciosa..."
131,"JL Fernández","9 reseñas · 2 fotos","Hace 5 meses","Comida","30-40 €","Positivo","Postres","Todo muy rico, incluyendo los postres","","Sí","¡Muy rico todo! Hasta el postre. Gracias, seguro volveremos."
132,"Maria Gomez Gomez","5 reseñas","Hace 1 año","","","Positivo","Postres variados","Comida excepcional, postres brutales, atención inmejorable de Ney durante toda la velada","","No","100% recomendado!! Fuimos cuatro personas y quedamos encantados en este sitio. La comida excepcional, estaba todo buenísimo!! Los postres brutales, y el trato del personal inmejorable, a destacar Ney..."
133,"Koko S","Local Guide · 152 reseñas · 984 fotos","Hace 9 años","","","Positivo","Platos gastrobar","Comida muy sabrosa, atención excelente del encargado Óscar","","No","Un sitio donde todo está muy rico y el servicio es excelente, mención al encargado Oscar que está pendiente de que tengas una buena experiencia en este gastro bar. Muy recomendable."
134,"Maripi","Local Guide · 128 reseñas · 21 fotos","Hace 3 meses","","","Positivo","Platillos variados","Sitio acogedor, platillos muy ricos","","No","Sitio acogedor. Platillos muy ricos. Volveré"
135,"Antonio Santana","14 reseñas","Hace 9 meses","Cena","50-60 €","Positivo","","Local muy acogedor, comida excelente, trato humano inmejorable","","No","Hoy hemos descubierto este lugar y es increíble. Lugar muy acogedor, comida excelente pero lo mejor el trato del personal. Recomendable 100%"
136,"Iván Serrano","10 reseñas","Hace 1 año","Comida","30-40 €","Positivo","Platos recomendados","Comida amena, recomendaciones acertadas y trato muy profesional de Ney","","No","Una experiencia muy agradable. Ney la persona que nos atendió un gran profesional nos hizo la comida muy amena y nos asesoró muy bien."
137,"miguel angel osorio","Local Guide · 140 reseñas · 11 fotos","Hace 1 año","","","Positivo","","Platos abundantes y exquisitos, esmerado servicio de mesa, ambiente relajado","","No","He ido con mi chica a cenar y no puedo más que felicitarles por sus exquisitos y abundantes platos, su esmerado servicio de mesa y su ambiente relajado y agradable. Volveré pronto con toda la familia!!!"
138,"Alejandro Gómez Sanchez","Local Guide · 46 reseñas · 6 fotos","Hace 4 años","","","Positivo","","Calidad del producto increíble, personal muy atento y profesional","","Sí","Gran descubrimiento. Me vine a vivir a pozuelo y mis vecinos me lo recomendaron. Gran atención de todo el servicio muy profesionales y una calidad del producto increíble. Más que recomendado"
139,"Ignacio Coloma Garrido","Local Guide · 16 reseñas","Hace 9 meses","Comida","30-40 €","Positivo","","Platos exquisitos y originales, relación calidad-precio excepcional, servicio impecable","","No","Restaurante sumamente recomendable. Comida exquisita y sorprendente. La relación calidad precio es excepcional y el servicio impecable."
140,"Veronica Lopez","Local Guide · 81 reseñas · 91 fotos","Hace 4 años","","","Positivo","","Comida excelente, trato estupendo y buen precio","","Sí","Excelente comida, trato y buen precio. Volveremos"
141,"Beatriz","Local Guide · 13 reseñas · 6 fotos","Hace 1 año","Comida","30-40 €","Negativo","Tartar de atún","Presentación cuidada","Comida escasa y sin sabor, tartar de atún insípido","No","Estábamos de paso y vinimos por las reseñas pero nos defraudó, la comida escasa y prácticamente sin sabor, muy buena presentación eso sí, pero para nada sabrosa. El tartar de atún tiene un..."
142,"Perfect Pixel Publicidad","Local Guide · 66 reseñas · 465 fotos","Hace 8 años","","","Positivo","","Comida de máxima calidad, trato del personal de diez","","No","Uno de los mejores sitios de Pozuelo para comer calidad y con un trato del personal de 10"
143,"Andrés","Local Guide · 45 reseñas · 81 fotos","Hace 3 meses","","","Positivo","","Gran atención de Jessica y el gerente del local","","No","Gran atencion por parte de Jessica y el gerente del local."
144,"Andrea Del Pino","Local Guide · 24 reseñas · 4 fotos","Hace 1 año","Cena","50-60 €","Positivo","Chuletón matizado, Bombones de foie","Entrantes deliciosos para compartir, atención y servicio sobresaliente de Ney","","No","Estuvimos el sábado por la noche cenando, nos atendió Ney y no pudimos tener mejor servicio! Pedimos varios entrantes para compartir y los favoritos fueron el chuletón matizado y los bombones de foie..."
145,"Carlos Garrido","Local Guide · 12 reseñas","Hace 1 año","Comida","30-40 €","Positivo","","Trato genial del personal, inmejorable relación calidad-precio","","No","He estado ya dos veces estos últimos meses y es una experiencia muy buena. El trato del personal es genial y la relación calidad-precio de lo mejor que puedes encontrar. Lo recomendaría sin dudar"
146,"Armando Ramirez","Local Guide · 36 reseñas · 6 fotos","Hace 1 año","","","Negativo","","Comida aceptable sin ser brillante","Mala actitud de servicio, rigidez y poca empatía al solicitar cambio de mesa","No","Buena comida pero nada excepcional y mala actitud de servicio. Reservamos mesa y nos asignaron una en pegada a la pared. Solicitamos una más al centro para ver el partido, nos comentan que es para reserva..."
147,"Diego Alexander Martínez Rios dmartinezr","Local Guide · 16 reseñas · 12 fotos","Hace 1 año","","","Positivo","Tapas para compartir","Sitio ideal para compartir comida","","No","Muy buen sitio para compartir!"
148,"Ramiro de Piñera Pons","1 reseña","Hace 3 meses","Cena","30-40 €","Positivo","","Comida muy rica, excelente atención de Jessica","","No","Comimos muy bien atendidos por Jessica."
149,"E. Roobaert","Local Guide · 46 reseñas · 3 fotos","Hace 1 año","Cena","20-30 €","Negativo","Pulpo a la brasa, Chipirones, Ensalada de tomate, Tarta de queso de chocolate, Helados","Local agradable, chipirones y ensalada de tomate correctos","Servicio extremadamente lento en todos los pasos, pulpo chicloso, tarta de queso de chocolate y helados totalmente insípidos","No","El sitio es agradable pero el servicio es lentísimo. Para pedir, para traer la comida, hasta para cobrar… el pulpo chicloso, los chipirones bien y la ensalada de tomate correcta. Pero no pidáis la tarta de queso de chocolate porque no vale nada. Nos costó reconocer los sabores de los helados..."
150,"Ana","14 reseñas · 2 fotos","Hace 1 año","","","Negativo","Aperitivo","","Les trajeron la cuenta y les apuraron para marcharse antes de acabar la consumición en un comedor casi vacío","No","Preguntamos si podíamos tomar un aperitivo pues habíamos quedado para comer y queríamos ver el sitio recomendado. Nos sentaron dentro solo había una mesa ocupada. Antes de que termináramos el aperitivo nos trajeron la cuenta diciendo q la mesa estaba reservada..."
151,"Alberto De Lucas Pérez","Local Guide · 28 reseñas · 1 foto","Hace 1 año","Comida","Más de 100 €","Positivo","","Gran descubrimiento gastronómico, experiencia de primer nivel para clientes exigentes","","Sí","Soy Alberto De Lucas actor y por motivos profesionales viajo desde Bilbao a Madrid mucho. Descubrir la Roca ha sido todo una sorpresa."
152,"Jorge Duque Silva","Local Guide · 54 reseñas · 36 fotos","Hace 2 años","","","Positivo","","Atención y comida estupenda, merecida mención en la Guía Michelin","","No","Atención y comida estupenda ! Digna mención en la Guía Michelin, sin duda repetiremos"
153,"Ana Zuriarrain","Local Guide · 26 reseñas · 7 fotos","Hace 1 año","Comida","20-30 €","Positivo","Alcachofas","Alcachofas espectaculares, comida riquísima, trato excelente de Ney","","No","Nos ha sorprendido este sitio al que nunca habíamos venido! Todo riquísimo en concreto, las alcachofas nos parecieron espectaculares. La atención de nuestro camarero Ney fue excelente! Volveremos seguro!"
154,"Juan Carlos CH","Local Guide · 28 reseñas · 11 fotos","Hace 1 año","Cena","40-50 €","Negativo","Chipirones descongelados, Arroz de microondas, Salsa mayonesa de bote, Agua del grifo","","Carísimo (80€ cena), chipirones congelados con arroz de microondas, mayonesa industrial, malas formas al pedir agua de grifo","No","Carísimo para lo que ofrece. 80€ por una cena en la que uno de los platos eran unos chipirones descongelados sobre un arroz brillante del microondas y una salsa de mayonesa Heinz. Y para colmo, a la hora de pedir una jarra de agua de malas formas..."
155,"Mariana Herrera","Local Guide · 69 reseñas · 9 fotos","Hace 1 año","Cena","","Positivo","Platos variados de carta","Comida fresca y sabrosa, servicio muy amable aconsejando cantidades y platos","","No","Excelente comida, pudimos probar muchas cosas de la carta y todo exquisito. La atención es para destacar, súper amables y nos recomendaron platos y cantidades. Fresco y con mucho sabor"
156,"Blanca Moratilla","Local Guide · 48 reseñas","Hace 1 año","","","Negativo","Cerveza sin alcohol, Vino Verdejo","Camareros amables que intentan esmerarse","Comedor muy ruidoso, sin vino rosado ni cava por copas, precios abusivos en bebida (4,95€ cerveza sin alcohol, 4,10€ verdejo)","No","Local ruidoso. Los camareros se esmeran lo que pueden pero hay carencias como que no hay rosado por copas, supongo que cava tampoco. En una zona de esa categoría y sobre todo con esos ¡¡precios!! ( sin alcohol 4,95€, verdejo 4,10€) no es de recibo..."
157,"Rafael Timermans","Local Guide · 47 reseñas · 16 fotos","Hace 7 meses","Comida","40-50 €","Positivo","Carrilleras, Arroz meloso, Zamburiñas","Platos sabrosísimos, atención perfecta","","No","Las carrilleras, el arroz meloso, las zambullas… Rico hasta decir, basta. Y la atención perfecta. Recomendable."
158,"CARLOTA DE PIÑERA MARTIN","7 reseñas","Hace 3 meses","Cena","30-40 €","Positivo","","Atención perfecta y muy amable de Jessica","","No","Jessica nos ha atendido perfectamente! Muy recomendable"
159,"Kike Roldán","1 reseña · 1 foto","Hace 1 año","","","Positivo","","Excelente servicio, experiencia sumamente recomendable","","No","Excelente servicio, super recomendable!"
160,"Angie Arbelaez","5 reseñas","Hace 1 año","Comida","20-30 €","Positivo","","Ambiente tranquilo y cómodo para familias, cuidada presentación y sabor estupendo, servicio atento","","No","Excelente servicio al cliente, los camareros muy atentos, un sitio muy cómodo, brinda tranquilidad y el poder compartir en familia. La comida con una excelente presentación y un sabor estupendo. Gracias"
161,"Nacho M R","Local Guide · 34 reseñas","Hace 11 meses","Cena","30-40 €","Positivo","","Comida y atención dignas de estrella Michelin","","No","Todo estaba muy bueno. Para mí es un restaurante de por lo menos 1 estrella Michelín, y. La verdad es que yo disfruté mucho y aparte, nos atendieron muy bien."
162,"Paz García","Local Guide · 21 reseñas","Hace 2 años","","","Negativo","","","Cantidades ridículas (52€ 2 personas sin comer casi nada), pésima relación calidad-precio frente a competidores cercanos","No","52€ 2 personas para no comer casi nada. Le pongo una estrella a la comida, porque no es que esté mal, es que la cantidad es RIDÍCULA. Pésima calidad-precio. Tienes el ochenta grados muy cerca, vale la mitad y además la calidad y el sabor es..."
163,"Nerea Eloy Giménez","Local Guide · 31 reseñas · 17 fotos","Hace 1 año","Comida","20-30 €","Negativo","Bao de cochinita pibil, Croquetas, Bocadillo de calamares","Servicio muy bueno","Raciones diminutas a precios desorbitados, bao decepcionante, bocadillo de calamares muy deficiente, croquetas sin destacar","Sí","Nada espectacular. Raciones pequeñas a precios desorbitados. El bao de cochinita pibil nos decepcionó mucho, las croquetas buenas pero sin más, y el bocadillo de calamares dejó mucho que desear. El servicio muy bien"
